IACO,Reg,Desc,Plane Type,Blah,BlahBlah
004006,Z-WSG,Medical Air Rescue Service P/L,B200 Super King Air,,
00412D,Z-WPF,Air Zimbabwe,Boeing 767,B762,Gov
00415C,Z-WPE,Air Zimbabwe,Boeing 767,B762,Gov
00817D,ZS-AOA,Netcare 911 Aeromedical,BAe 125,,
008AEF,ZS-EDA,Netcare 911 Aeromedical,Cessna Citation SII,,
00AD1A,ZS-RBL,Netcare 911 Aeromedical,Bell 407,,
010024,SU-GGG,Gov of Egypt,Airbus A340-212,A342,Gov
01003D,SU-BNC,Gov of Egypt,Gulfstream G-IV SP,GLF4,Gov
010057,SU-BNO,Gov of Egypt,Gulfstream G-IV SP,GLF4,Gov
01006B,SU-AYD,Gov of Egypt,Dassault Falcon 20 F5B,FA20,Gov
01006C,SU-AZJ,Gov of Egypt,Dassault Falcon 20 F5B,FA20,Gov
01006D,SU-AXN,Gov of Egypt,Dassault Falcon 20 E5B,FA20,Gov
01008E,SU-BPE,Gov of Egypt,Gulfstream G400,GLF4,Gov
01008F,SU-BPF,Gov of Egypt,Gulfstream G400,GLF4,Gov
010137,SU-BRF,Gov of Egypt,Cessna Citation Sovereign,C680,Gov
0101D2,SU-BTW,Gov of Egypt,Dassault Falcon 8X,FA8X,Gov
018019,5A-DCN,Gov of Libya,Dassault Falcon 900EX,F900,Gov
01801C,5A-CAA,Libyan Air Force,Antonov An-74TK-300,A743,Gov
018021,5A-ONE,Gov of Libya,Airbus A340-213,A342,Gov
018030,5A-UAA,Gov of Libya,Bombardier Challenger 300,CL30,Gov
018032,5A-DRK,Libyan Air Ambulance,Cessna Citation XLS,,
018039,5A-DRL,Libyan Air Ambulance,Cessna Citation XLS,,
018098,5A-POL,Libyan Government,Ilyushin IL-76TD,IL76,Gov
01809C,5A-DFN,Libyan Air Ambulance,Cessna Citation Latitude,,
0200CC,CN-MVI,Gov of Morocco,Boeing 737-BBJ,B737,Gov
020163,CN-TMB,Air Ocean Maroc,BAe 125,,
034002,TJ-AAW,Gov of Cameroon,Grumman GIII,GLF3,Gov
03E003,TR-LEX,Gov of Gabon,Dassault Falcon 900EX,F900,Gov
03E004,TR-KSP,Gov of Gabon,Gulfstream G-IV SP,GLF4,Gov
03E00A,TR-KPR,Gov of Gabon,Boeing 777,B772,Gov
03E015,TR-KGM,Gov of Gabon,Gulfstream G-IV,GLF4,Gov
042001,3C-ONM,Equatorial Guinea,Dassault Falcon 900B,F900,Gov
042003,3C-LGE,Guinea Ecuatorial Airlines,Dassault Falcon 50,FA50,Gov
04200A,3C-EGE,Equatorial Guinea,Boeing 737-BBJ,B737,Gov
042088,3C-QQH,Equatorial Guinea,Embraer ERJ-145 EP,E145,Gov
042819,3C-LLU,Guinea Ecuatorial Airlines,Boeing 767-ER,B763,Gov
0428DD,3C-LLX,Equatorial Guinea,Gulfstream G500,GLF5,Gov
04C293,5Y-FDW,African Medical and Research Foundation,Cessna Citation Sovereign,,
